Название;Ссылка
Podlodka Podcast – анонсы и новости подкаста про IT;https://tmtr.me/podlodkanews
Programmer Way;https://tmtr.me/programmerwayit
matematic.xyz;https://tmtr.me/matematicxyz
SEO Мемы;https://tmtr.me/seogif
Патчкорд;https://tmtr.me/patchcord
VST PLUGINS;https://tmtr.me/vstbest
1000$ на контентный проект;https://tmtr.me/site_za_1k
Installer??;https://tmtr.me/cash1001sposob
Digital Jobs;https://tmtr.me/opendigitaljobs
Python nation??;https://tmtr.me/pythonnation
??NEWS Android Dev Подкаст;https://tmtr.me/androiddevpodcast_news
Data Science Jobs / AI / NN / ML / DL / NLP;https://tmtr.me/datasciencejobs
restored: files;https://tmtr.me/refiles
Котики Кодят - официальный канал дайджеста-подкаста;https://tmtr.me/ccoder
Хабр ?? Подкасты;https://tmtr.me/habrpodcast
My IT specialist;https://tmtr.me/myitspecialist2020
FinPR;https://tmtr.me/finpr
Твой Программист;https://tmtr.me/joinchat/AAAAAFXHNU7Vs5jFGq3nXA
TechBook;https://tmtr.me/techbookkz
Айти Тудэй;https://tmtr.me/ithueti
PHP Russia Channel;https://tmtr.me/phprussiaconfchannel
Техническая поддержка Лаборатории Касперского;https://tmtr.me/kl_support
Архитектурная лаборатория SA lab;https://tmtr.me/salab_daily
IT??Инкубатор??;https://tmtr.me/itinkubator
SeniorFrontend Courses (Javascript, Html, Css);https://tmtr.me/seniorfrontcourse
Девопсина / DevOpsina;https://tmtr.me/devopsina
Blog | Mustafa Anvarov;https://tmtr.me/mustafa_blog
Moscow Python;https://tmtr.me/moscow_python
SAP Customer Experience CIS;https://tmtr.me/sapcxcis
Devops Talks;https://tmtr.me/devops_talks
TechnoVortex;https://tmtr.me/technovortex
AiLog.tech - информационные технологии;https://tmtr.me/ailogtech
РИФ (Российский Интернет Форум);https://tmtr.me/rif_cib
123Finance;https://tmtr.me/agency123
Heisen MINDS;https://tmtr.me/heisenme
opennet.ru;https://tmtr.me/opennetru
Zagitova;https://tmtr.me/zzzagitova
продуктовый;https://tmtr.me/onproduct
Code Junior - канал для начинающих и junior разработчиков;https://tmtr.me/codejunior
Зона BSOD'a;https://tmtr.me/zona_bsoda
